Outcome,Model,Split,Explained_output,Subgroup,Level,Aggregation,Rank,Feature_construct,Mean_abs_SHAP,Importance_share_pct,N,Weight_sum
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_6,Unweighted,11,EMPWRKLSW1_A,0.10848835704968492,3.8424129865417345,298,2170348.889
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_6,Unweighted,12,SEX_A,0.0839734644198034,2.9741507659092155,298,2170348.889
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_6,WTFA_A,1,AGEP_A,0.5271575469173326,19.327600720414612,298,2170348.889
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_6,WTFA_A,2,NOTCOV_A,0.4124600053730725,15.122352593845982,298,2170348.889
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_6,WTFA_A,3,FDSCAT3_A,0.35407445823495987,12.981716365592671,298,2170348.889
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_6,WTFA_A,4,PHSTAT_A,0.24382935233947137,8.939711464803553,298,2170348.889
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_6,WTFA_A,5,EDUCP_A,0.21795179534853007,7.9909417998989545,298,2170348.889
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_6,WTFA_A,6,RATCAT_A,0.20245974752796414,7.422944402596356,298,2170348.889
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_6,WTFA_A,7,HISPALLP_A,0.19588018423484785,7.181712586818159,298,2170348.889
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_6,WTFA_A,8,CHRONIC_BURDEN_CAT,0.15176360575286224,5.56423102170198,298,2170348.889
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_6,WTFA_A,9,DISAB3_A,0.11729625881702796,4.300526986042451,298,2170348.889
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_6,WTFA_A,10,EMPWRKLSW1_A,0.11564776282215794,4.240086852795062,298,2170348.889
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_6,WTFA_A,11,K6SPD_A,0.10050711491336782,3.6849731128121914,298,2170348.889
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_6,WTFA_A,12,SEX_A,0.08845787348698063,3.2432020926780325,298,2170348.889
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_7,Unweighted,1,AGEP_A,0.6032627023880567,23.12916588753557,274,2014189.3329999999
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_7,Unweighted,2,NOTCOV_A,0.3865386646686642,14.819939740476515,274,2014189.3329999999
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_7,Unweighted,3,FDSCAT3_A,0.36619119404807543,14.039815225050031,274,2014189.3329999999
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_7,Unweighted,4,PHSTAT_A,0.22929407660951362,8.79116297748383,274,2014189.3329999999
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_7,Unweighted,5,HISPALLP_A,0.18277917513628347,7.00777595859822,274,2014189.3329999999
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_7,Unweighted,6,EDUCP_A,0.17960128977163708,6.885935444541052,274,2014189.3329999999
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_7,Unweighted,7,RATCAT_A,0.16970423858683584,6.506481290083069,274,2014189.3329999999
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_7,Unweighted,8,CHRONIC_BURDEN_CAT,0.12991511166155162,4.9809612910311145,274,2014189.3329999999
