Outcome,Model,Split,Explained_output,Aggregation,Rank,Encoded_feature,Feature_construct,Mean_abs_SHAP,Importance_share_pct,Mean_signed_SHAP,N_explained
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,8,EMPWRKLSW1_A=1,EMPWRKLSW1_A,0.09878760281706267,3.2626855073916485,0.0015890049802280096,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,9,SEX_A=2,SEX_A,0.09604505772061021,3.1721067112229258,-0.011789897538459467,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,10,EDUCP_A=4,EDUCP_A,0.08374302128447325,2.7658039480521666,-0.0029583204055579023,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,11,PHSTAT_A=2,PHSTAT_A,0.07567835685108149,2.4994500431241335,-0.0026493212152857277,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,12,DISAB3_A=1,DISAB3_A,0.07025170434461642,2.320222488435095,-0.003760652817444954,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,13,K6SPD_A=1,K6SPD_A,0.06993713078733378,2.3098329804696536,-0.023074100548621915,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,14,EDUCP_A=5,EDUCP_A,0.06343317436078479,2.095025010962543,-0.005124433412592512,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,15,PHSTAT_A=4,PHSTAT_A,0.05488511542123256,1.812705901852735,-0.010136501566037716,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,16,PHSTAT_A=5,PHSTAT_A,0.050632888870603666,1.672266438344601,-0.018116430868788894,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,17,FDSCAT3_A=3,FDSCAT3_A,0.04644689431901394,1.5340144374049323,-0.019410484445758245,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,18,CHRONIC_BURDEN_CAT=2,CHRONIC_BURDEN_CAT,0.045701600703536883,1.5093994188335076,-0.003490294733547652,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,19,HISPALLP_A=4,HISPALLP_A,0.04458601642994907,1.4725547081824224,-0.011579708562848765,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,20,RATCAT_A=8,RATCAT_A,0.03755075579125017,1.2401992073701158,-0.004592559260183023,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,21,DISAB3_A=2,DISAB3_A,0.033313187791076705,1.1002438758660644,-0.00775295460056671,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,22,EDUCP_A=1,EDUCP_A,0.0314646803129143,1.039192707629154,0.0013114858946680762,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,23,EMPWRKLSW1_A=2,EMPWRKLSW1_A,0.03095353983382797,1.022311129518139,-0.003097114798033123,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,24,K6SPD_A=2,K6SPD_A,0.030876472842833427,1.019765816670718,-0.004808909205388413,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,25,EDUCP_A=7,EDUCP_A,0.030569967522839164,1.0096427806118757,-0.0024294433832774617,6417
