Outcome,Model,Split,Explained_output,Subgroup,Level,Aggregation,Rank,Feature_construct,Mean_abs_SHAP,Importance_share_pct,N,Weight_sum
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_10,WTFA_A,9,SEX_A,0.11581093473127577,4.792710572727458,470,3697012.5979999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_10,WTFA_A,10,HISPALLP_A,0.08167186958306194,3.379902197952384,470,3697012.5979999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_10,WTFA_A,11,DISAB3_A,0.07954723767364913,3.291976598879855,470,3697012.5979999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_10,WTFA_A,12,K6SPD_A,0.05097564983998323,2.109572265405107,470,3697012.5979999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_11,Unweighted,1,AGEP_A,0.3039225419472398,13.362397986968913,388,3303098.671
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_11,Unweighted,2,EMPWRKLSW1_A,0.30351694562998416,13.34456535310604,388,3303098.671
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_11,Unweighted,3,PHSTAT_A,0.2983671198416711,13.118145748603848,388,3303098.671
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_11,Unweighted,4,NOTCOV_A,0.22642732791913686,9.955207834852418,388,3303098.671
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_11,Unweighted,5,FDSCAT3_A,0.21559427403379516,9.478916815098625,388,3303098.671
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_11,Unweighted,6,RATCAT_A,0.210137140920748,9.23898599569576,388,3303098.671
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_11,Unweighted,7,EDUCP_A,0.208031430573285,9.146405367987784,388,3303098.671
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_11,Unweighted,8,CHRONIC_BURDEN_CAT,0.17067079015214714,7.50379030180442,388,3303098.671
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_11,Unweighted,9,SEX_A,0.1157420949029169,5.088770072891751,388,3303098.671
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_11,Unweighted,10,DISAB3_A,0.07912041509394573,3.4786444881835026,388,3303098.671
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_11,Unweighted,11,HISPALLP_A,0.07578945716980744,3.332194063101475,388,3303098.671
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_11,Unweighted,12,K6SPD_A,0.067141544651104,2.9519759717054566,388,3303098.671
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_11,WTFA_A,1,PHSTAT_A,0.31369161148916386,13.428614362382888,388,3303098.671
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_11,WTFA_A,2,AGEP_A,0.30777721821171133,13.175429056810497,388,3303098.671
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_11,WTFA_A,3,EMPWRKLSW1_A,0.29856913606769553,12.781246427756026,388,3303098.671
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_11,WTFA_A,4,FDSCAT3_A,0.23502764428305545,10.061141209972964,388,3303098.671
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_11,WTFA_A,5,NOTCOV_A,0.23324538039251452,9.984845467270576,388,3303098.671
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_11,WTFA_A,6,EDUCP_A,0.21411767444108293,9.166020298055926,388,3303098.671
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_11,WTFA_A,7,RATCAT_A,0.2101371409207481,8.995620301233055,388,3303098.671
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_11,WTFA_A,8,CHRONIC_BURDEN_CAT,0.17105044212169612,7.322383958127289,388,3303098.671
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_11,WTFA_A,9,SEX_A,0.11642928409323781,4.984143341143885,388,3303098.671
