Outcome,Model,Feature_construct,Explained_output,Level,N,Weighted_mean_SHAP,Weighted_mean_abs_SHAP,Weight_sum
MEDDL,XGBoost,FDSCAT3_A,base_estimator_raw_margin_log_odds,code_1,5647,0.2699326606455794,0.2699326606455794,43861264.938999996
MEDDL,XGBoost,FDSCAT3_A,base_estimator_raw_margin_log_odds,code_2,312,0.25999667438673,0.25999667438673,2776281.3880000003
MEDDL,XGBoost,FDSCAT3_A,base_estimator_raw_margin_log_odds,code_3,229,0.252783129626421,0.252783129626421,1766496.829
MEDDL,XGBoost,PHSTAT_A,base_estimator_raw_margin_log_odds,Missing/special,3,-0.0324810032244036,0.09483914014782553,19857.717
MEDDL,XGBoost,PHSTAT_A,base_estimator_raw_margin_log_odds,code_1,1245,-0.0038030415557916207,0.049268238784364385,10907147.961
MEDDL,XGBoost,PHSTAT_A,base_estimator_raw_margin_log_odds,code_2,2066,-0.005904595867424366,0.05616574610182373,16045518.833999999
MEDDL,XGBoost,PHSTAT_A,base_estimator_raw_margin_log_odds,code_3,2013,0.0014134233125402968,0.058788557459430464,15656320.524
MEDDL,XGBoost,PHSTAT_A,base_estimator_raw_margin_log_odds,code_4,860,0.008462523427162713,0.06521016381205659,6013706.5370000005
MEDDL,XGBoost,PHSTAT_A,base_estimator_raw_margin_log_odds,code_5,232,0.010430801478285583,0.07703502983710188,1627632.489
MEDDL,XGBoost,DISAB3_A,base_estimator_raw_margin_log_odds,code_1,748,0.21673320167832894,0.21673320167832894,5093352.409
MEDDL,XGBoost,DISAB3_A,base_estimator_raw_margin_log_odds,code_2,5671,0.23435914696919335,0.23435914696919335,45176831.653000005
MEDDL,XGBoost,K6SPD_A,base_estimator_raw_margin_log_odds,Missing/special,121,0.6361942199553242,0.6361942199553242,915380.664
MEDDL,XGBoost,K6SPD_A,base_estimator_raw_margin_log_odds,code_1,235,0.6419012252807565,0.6419012252807565,1796026.582
MEDDL,XGBoost,K6SPD_A,base_estimator_raw_margin_log_odds,code_2,6063,0.6400169114074062,0.6400169114074062,47558776.816
MEDDL,XGBoost,CHRONIC_BURDEN_CAT,base_estimator_raw_margin_log_odds,Missing/special,1218,-0.045003246219577436,0.051784098823783674,7403342.901000001
MEDDL,XGBoost,CHRONIC_BURDEN_CAT,base_estimator_raw_margin_log_odds,code_0,2430,-0.026405645033801047,0.04478924855940545,22469902.56
MEDDL,XGBoost,CHRONIC_BURDEN_CAT,base_estimator_raw_margin_log_odds,code_1,1696,-0.03460067063917169,0.047992631911293396,13350298.159999998
MEDDL,XGBoost,CHRONIC_BURDEN_CAT,base_estimator_raw_margin_log_odds,code_2,1075,-0.04113282340297725,0.05031919788118458,7046640.441
